Form,Gw,Pos
ti-ta e-ta-sig₉,arrow put,N V/t
mu-haš,break,V/t
igi-ba\n5al2,face,N
lu₂,person,N
e₂-an-na-tum₂-me,Eanatum,RN
umma{ki}-a,Umma,SN
im-hul im-ma-gin₇,wind rain,N N
a-mar\abs mu-ne₂-taka₄,flood abandon,N V/t
e₂-an-na-tum₂\abs,Eanatum,RN
lu₂ inim si\abs sa₂-kam,person word horn equal,N N N V/t
ki-sur-ra,border,N
e-ta-ra,beat,V/t
a₂ umma{ki}-še₃\gen\term,arm Umma,N SN
mu-taka₄,abandon,V/t
ki-ba na\abs bi-du₃,place stone build,N N V/t
lu₂ umma{ki}\gen,person Umma,N SN
umma{ki}\l2,Umma,SN
aga₃-kar₂\abs be₂-seg₁₀\v10l2,conqueror put,N V/t
|SAHAR.DU₆.TAK₄|-bi\abs niš\cop,burial mound twenty,N NU
bi₂-dub,heap,V/t
e₂-an-na-tum₂,Eanatum,RN
er₂ dug₃-ga\abs pad₃-a,tears good find,N V/i V/t
{d}šul-|MUŠ×PA|\gen,Šul-MUŠ×PA,DN
e₂-an-na-tum₂-me,Eanatum,RN
e₂-an-na-tum₂-me,Eanatum,RN
{d}nin-ŋir₂-su₂-ra,Ninŋirsuk,DN
kur-kur\abs e-na-ha-lam,mountain forsake,N V/t
e₂-an-na-tum₂-me,Eanatum,RN
{d}nin-ŋir₂-su₂-ra\n5ral2,Ninŋirsuk,DN
{a-šag₄}ašag ki\abs aŋ₂-ni,field place measure,N N V/t
gu₂-eden-na\abs,Guedenak,GN
šu-na\n5al2 mu-ni-gi₄,hand turn,N V/i
a-šag₄ da-na,field Dana,N GN
ki-har-ra,Kihara,GN
{d}nin-ŋir₂-su₂-ka,Ninŋirsuk,DN
e₂-an-na-tum₂-me,Eanatum,RN
e₂-mah,Emah,TN
{d}nin-ŋir₂-su₂-ka,Ninŋirsuk,DN
e₂-an-na-tum₂,Eanatum,RN
{d}nin-ŋir₂-su₂-ka,Ninŋirsuk,DN
diŋir-ra-ni\abs {d}šul-|MUŠ×PA|\cop,deity Šul-MUŠ×PA,N DN
a-šag₄ dag-ba,field Dagba,N GN
a-šag₄ x-GAL-NIMGIR,field X-GAL-NIMGIR,N GN
a-šag₄ ŊEŠ-PIRIŊ-ŊA₂,field ŊEŠ-PIRIŊ-ŊA₂,N GN
a-šag₄ tum-ma-al,field Tumal,N GN
a-šag₄ x-lam-x,field X-lam-X,N GN
a-šag₄ x-lam-x,field X-lam-X,N GN
a-šag₄ x-GUR₈-x,field X-GUR₈-X,N GN
a-šag₄,field,N
a-šag₄ x-gal-x,field X-gal-X,N GN
a-šag₄,field,N
e₂-an-na-tum₂,Eanatum,RN
mu\abs pad₃-da,name find,N V/t
{d}nin-ŋir₂-su₂-ka-ke₄,Ninŋirsuk,DN
šu-na\n5al2 mu-ni-gi₄,hand turn,N V/i
lu₂ umma{ki}-ra,person Umma,N SN
e₂-an-na-tum₂-me,Eanatum,RN
sa-šuš-gal,net,N
{d}en-lilₓ(E₂)-la₂\abs,Enlil,DN
e-na-šum₂,give,V/t
nam\abs e-na-ta-kud,oath cut,N V/t
lu₂ umma{ki}-ke₄,person Umma,N SN
e₂-an-na-tum₂-ra,Eanatum,RN
nam\abs mu-na-ku₅-re₆,oath cut,N V/t
zi {d}en-lilₓ(E₂),life Enlil,N DN
lugal an ki-ka\abs,king sky place,N N N
a-šag₄ {d}nin-ŋir₂-su₂-ka\abs,field Ninŋirsuk,N DN
uru₅\term i₃-gu₇\v14sg1a,loan eat,N V/t
eg₂\abs na-e,levee speak,N V/t
da-ri₂ da gal-la-še₃,eternal line big,V/i N V/i
ki-sur-ra,border,N
{d}nin-ŋir₂-su₂-ka-ke₄\l3,Ninŋirsuk,DN
ba-ra-mu-bala-e\V14sg1s,turn,V/t
eg₂ pa₅-be₂,levee canal,N N
šu bala\abs ba-ra-ak-ke₄\v14sg1a,hand turn do,N V/t V/t
na-ru₂-a-bi\abs,stele,N
ba-ra-burₓ(PAD)-re₆\v14sg1a,tear,V/t
ud-da mu-bala-e\v14sg1s,sun turn,N V/t
sa-šuš-gal,net,N
{d}en-lilₓ(E₂),Enlil,DN
lugal an ki-ka,king sky place,N N N
nam\abs e-ta-ku₅-ra₂\abs,oath cut,N V/t
umma{ki}-a\n5al2,Umma,SN
an-ta he₂-šuš,sky cover,N V/t
e₂-an-na-tum₂-me,Eanatum,RN
gal\abs na-ga-mu-zu,big know,V/i V/t
tum₁₂{mušen}\abs min-nam,dove two,N NU
igi-ba\l1 šembi₃\abs ba-ne₂-ŋar,eye kohl place,N N V/t
eren saŋ-ba\n5al2 i₃-mi-du₈,cedar head spread,N N V/t
šu\abs e-ma-ne₂-ba,hand open,N V/i
lugal-ŋu₁₀,king,N
{d}en-lilₓ(E₂)-ra,Enlil,DN
a-ba\abs dug₄-ga-na,who? speak,N V/t
a-ba\abs šar₂-ra-na,who? šar,N NU
lu₂ umma{ki}-a\gen,person Umma,N SN
inim-da gur-ra-da-am₆,word turn,N V/t
ud am₆-du₃,sun build,N V/t
inim\abs am₆-ŋal₂,word be,N V/i
ud-da inim-ba,sun word,N N
šu\abs ne₂-bala-e,hand turn,N V/t
sa-šuš-gal,net,N
{d}en-lilₓ(E₂)-la₂\gen,Enlil,DN
nam\abs e-ta-ku₅-ra₂\abs,oath cut,N V/t
umma{ki}\n5al2,Umma,SN
an-ta he₂-šuš,sky cover,N V/t
e₂-an-na-tum₂-me,Eanatum,RN
sa-šuš-gal,net,N
{d}nin-hur-saŋ-ka\abs,Ninhursaŋak,DN
lu₂ umma{ki}-ra,person Umma,N SN
e-na-šum₂,give,V/t
nam\abs e-na-ta-kud,oath cut,N V/t
lu₂ umma{ki}-ke₄,person Umma,N SN
e₂-an-na-tum₂-ra,Eanatum,RN
nam\abs mu-na-ku₅-re₆,oath cut,N V/t
zi {d}nin-hur-saŋ-ka\abs,life Ninhursaŋak,N DN
a-šag₄ {d}nin-ŋir₂-su₂-ka\abs,field Ninŋirsuk,N DN
uru₅\term i₃-gu₇\v14sg1a,loan eat,N V/t
eg₂\abs na-e,levee speak,N V/t
da-ri₂ da gal-la-še₃,eternal line big,V/i N V/i
ki-sur-ra,border,N
{d}nin-ŋir₂-su₂-ka-ke₄\l3,Ninŋirsuk,DN
ba-ra-mu-bala-e\V14sg1s,turn,V/t
eg₂ pa₅-be₂,levee canal,N N
šu bala\abs ba-ra-ak-ke₄\v14sg1a,hand turn do,N V/t V/t
na-ru₂-a-bi\abs,stele,N
ba-ra-burₓ(PAD)-re₆\v14sg1a,tear,V/t
ud-da mu-bala-e\v14sg1s,sun turn,N V/t
sa-šuš-gal,net,N
{d}nin-hur-saŋ-ka,Ninhursaŋak,DN
nam\abs e-ta-ku₅-ra₂\abs,oath cut,N V/t
umma{ki}-a\n5al2,Umma,SN
an-ta he₂-šuš,sky cover,N V/t
e₂-an-na-tum₂-me,Eanatum,RN
gal\abs na-ga-mu-zu,big know,V/i V/t
tum₁₂{mušen}\abs min-nam,dove two,N NU
igi-ba\l1 šembi₃\abs ba-ne₂-ŋar,eye kohl place,N N V/t
eren\abs saŋ-ba\n5al2 i₃-mi-du₈,cedar head spread,N N V/t
{d}nin-hur-saŋ-ra,Ninhursaŋak,DN
keš₃{ki}-še₃,Keš,SN
šu\abs e-ma-ne₂-ba,hand open,N V/i
ama-ŋu₁₀,mother,N
{d}nin-hur-saŋ-ra,Ninhursaŋak,DN
a-ba\abs dug₄-ga-na,who? speak,N V/t
a-ba\abs šar₂-ra-na,who? šar,N NU
lu₂ umma{ki}-a\gen,person Umma,N SN
inim-da gur-ra-da-am₆,word turn,N V/t
ud am₆-du₃,sun build,N V/t
inim\abs am₆-ŋal₂,word be,N V/i
ud-da inim-ba,sun word,N N
šu\abs ne₂-bala-e,hand turn,N V/t
sa-šuš-gal,net,N
{d}nin-hur-saŋ-ka,Ninhursaŋak,DN
nam\abs e-ta-ku₅-ra₂\abs,oath cut,N V/t
umma{ki}-a\n5al2,Umma,SN
an-ta he₂-šuš,sky cover,N V/t
e₂-an-na-tum₂-me,Eanatum,RN
sa-šuš-gal,net,N
{d}en-ki,Enkik,DN
lugal abzu-ka\abs,king water,N N
lu₂ umma{ki}-ra,person Umma,N SN
e-na-šum₂,give,V/t
nam e-na-ta-kud,fate cut,N V/t
lu₂ umma{ki}-ke₄,person Umma,N SN
e₂-an-na-tum₂-ra,Eanatum,RN
nam\abs mu-na-ku₅-re₆,oath cut,N V/t
zi {d}en-ki,life Enkik,N DN
lugal abzu-ka\abs,king water,N N
a-šag₄ {d}nin-ŋir₂-su₂-ka\abs,field Ninŋirsuk,N DN
uru₅\term i₃-gu₇\v14sg1a,loan eat,N V/t
eg₂\abs na-e,levee speak,N V/t
da-ri₂ da gal-la-še₃,eternal line big,V/i N V/i
ki-sur-ra,border,N
{d}nin-ŋir₂-su₂-ka-ke₄\l3,Ninŋirsuk,DN
ba-ra-mu-bala-e\V14sg1s,turn,V/t
eg₂ pa₅-be₂,levee canal,N N
šu bala\abs ba-ra-ak-ke₄\v14sg1a,hand turn do,N V/t V/t
na-ru₂-a-bi\abs,stele,N
ba-ra-burₓ(PAD)-re₆\v14sg1a,tear,V/t
ud-da mu-bala-e\v14sg1s,sun turn,N V/t
sa-šuš-gal,net,N
{d}en-ki,Enkik,DN
lugal abzu-ka\gen,king water,N N
nam\abs e-ta-ku₅-ra₂\abs,oath cut,N V/t
umma{ki}-a\n5al2,Umma,SN
an-ta he₂-šuš,sky cover,N V/t
e₂-an-na-tum₂-me,Eanatum,RN
gal\abs na-ga-mu-zu,big know,V/i V/t
{d}nin-ŋir₂-su₂-ka-ka\gen\l1,Ninŋirsuk,DN
šu\abs e-ma-ne₂-ba,hand open,N V/i
suhur{ku₆} abzu-še₃ gub-gub-ba,carp water stand,N N V/i
e₂-an-na-tum₂-me,Eanatum,RN
inim\abs a-ku₅-re₆,word cut,N V/t
lugal-ŋu₁₀,king,N
{d}en-ki-ra,Enkik,DN
a-ba\abs dug₄-ga-na,who? speak,N V/t
a-ba\abs šar₂-ra-na,who? šar,N NU
lu₂ umma{ki}-a\gen,person Umma,N SN
inim-da gur-ra-da-am₆,word turn,N V/t
ud am₆-du₃,sun build,N V/t
inim\abs am₆-ŋal₂,word be,N V/i
ud-da inim-ba,sun word,N N
šu\abs ne₂-bala-e,hand turn,N V/t
sa-šuš-gal,net,N
{d}en-ki-ka,Enkik,DN
nam\abs e-ta-ku₅-ra₂\abs,oath cut,N V/t
umma{ki}-a\n5al2,Umma,SN
an-ta he₂-šuš,sky cover,N V/t
e₂-an-na-tum₂-me,Eanatum,RN
sa-šuš-gal,net,N
{d}suen,Suen,DN
amar ban₃-da,young junior,N V/i
{d}en-lilₓ(E₂)-ka,Enlil,DN
lu₂ umma{ki}-ra,person Umma,N SN
e-na-šum₂,give,V/t
nam\abs e-na-ta-kud,oath cut,N V/t
lu₂ umma{ki}-ke₄,person Umma,N SN
e₂-an-na-tum₂-ra,Eanatum,RN
nam\abs mu-na-ku₅-re₆,oath cut,N V/t
zi {d}suen,life Suen,N DN
amar ban₃-da,young junior,N V/i
{d}en-lilₓ(E₂)-ka,Enlil,DN
a-šag₄ {d}nin-ŋir₂-su₂-ka\abs,field Ninŋirsuk,N DN
uru₅\term i₃-gu₇\v14sg1a,loan eat,N V/t
eg₂\abs na-e,levee speak,N V/t
da-ri₂ da gal-la-še₃,eternal line big,V/i N V/i
ki-sur-ra,border,N
{d}nin-ŋir₂-su₂-ka-ke₄\l3,Ninŋirsuk,DN
ba-ra-mu-bala-e\V14sg1s,turn,V/t
eg₂ pa₅-be₂,levee canal,N N
šu bala\abs ba-ra-ak-ke₄\v14sg1a,hand turn do,N V/t V/t
na-ru₂-a-bi\abs,stele,N
ba-ra-burₓ(PAD)-re₆\v14sg1a,tear,V/t
ud-da mu-bala-e\v14sg1s,sun turn,N V/t
sa-šuš-gal,net,N
{d}suen,Suen,DN
amar ban₃-da,young junior,N V/i
{d}en-lilₓ(E₂)-ka,Enlil,DN
nam\abs e-ta-ku₅-ra₂\abs,oath cut,N V/t
umma{ki}-a\n5al2,Umma,SN
an-ta he₂-šuš,sky cover,N V/t
e₂-an-na-tum₂-me,Eanatum,RN
gal\abs na-ga-mu-zu,big know,V/i V/t
tum₁₂{mušen}\abs limmu₂\cop,dove four,N NU
igi-ba\l1 šembi₃\abs ba-ne₂-ŋar,eye kohl place,N N V/t
eren\abs saŋ-ba\n5al2 i₃-mi-du₈,cedar head spread,N N V/t
min-nam urim₅{ki}-še₃,two Urim,NU SN
{d}suen-ka\gen\l1,Suen,DN
šu\abs e-ma-ne₂-ba,hand open,N V/i
lugal-ŋu₁₀,king,N
{d}suen,Suen,DN
amar ban₃-da,young junior,N V/i
{d}en-lilₓ(E₂)-ra\gen\dat,Enlil,DN
a-ba\abs dug₄-ga-na,who? speak,N V/t
a-ba\abs šar₂-ra-na,who? šar,N NU
lu₂ umma{ki}\gen,person Umma,N SN
inim-da gur-da-am₆,word turn,N V/t
ud a-du₃,sun build,N V/t
inim\abs am₆-ŋal₂,word be,N V/i
ud-da inim-ba,sun word,N N
šu\abs ne₂-bala-e,hand turn,N V/t
sa-šuš-gal,net,N
{d}suen,Suen,DN
nam\abs e-ta-ku₅-ra₂\abs,oath cut,N V/t
umma{ki}-a\n5al2,Umma,SN
an-ta he₂-šuš,sky cover,N V/t
e₂-an-na-tum₂-me,Eanatum,RN
sa-šuš-gal,net,N
{d}utu,Utu,DN
lugal ni-si₃-ga-ka\abs,king greenery,N N
lu₂ umma{ki}-ra,person Umma,N SN
e-na-šum₂,give,V/t
nam\abs e-na-ta-kud,oath cut,N V/t
lu₂ umma{ki}-ke₄,person Umma,N SN
e₂-an-na-tum₂-ra,Eanatum,RN
nam\abs mu-na-ku₅-re₆,oath cut,N V/t
zi {d}utu,life Utu,N DN
lugal ni-si₃-ga-ka\abs,king greenery,N N
a-šag₄ {d}nin-ŋir₂-su₂-ka\abs,field Ninŋirsuk,N DN
uru₅\term i₃-gu₇\v14sg1a,loan eat,N V/t
eg₂\abs na-e,levee speak,N V/t
da-ri₂ da gal-la-še₃,eternal line big,V/i N V/i
ki-sur-ra,border,N
{d}nin-ŋir₂-su₂-ka-ke₄\l3,Ninŋirsuk,DN
ba-ra-mu-bala-e\V14sg1s,turn,V/t
eg₂ pa₅-be₂,levee canal,N N
šu bala\abs ba-ra-ak-ke₄\v14sg1a,hand turn do,N V/t V/t
na-ru₂-a-bi\abs,stele,N
ba-ra-burₓ(PAD)-re₆\v14sg1a,tear,V/t
ud-da mu-bala-e\v14sg1s,sun turn,N V/t
sa-šuš-gal,net,N
{d}utu,Utu,DN
lugal ni-si₃-ga-ka,king greenery,N N
nam\abs e-ta-ku₅-ra₂\abs,oath cut,N V/t
umma{ki}-a\n5al2,Umma,SN
an-ta he₂-šuš,sky cover,N V/t
e₂-an-na-tum₂-me,Eanatum,RN
gal\abs na-ga-mu-zu,big know,V/i V/t
tum₁₂{mušen}\abs min-nam,dove two,N NU
igi-ba\l1 šembi₃\abs ba-ne₂-ŋar,eye kohl place,N N V/t
eren saŋ-ba\n5al2 i₃-mi-du₈,cedar head spread,N N V/t
{d}utu,Utu,DN
lugal ni-si₃-ga-ra,king greenery,N N
e₂-an-na-tum₂,Eanatum,RN
lugal,king,N
lagaš{ki},Lagaš,SN
a₂\abs šum₂-ma,arm give,N V/t
{d}en-lilₓ(E₂),Enlil,DN
ga zid\abs gu₇-a,milk right eat,N V/i V/t
{d}nin-hur-saŋ,Ninhursaŋak,DN
mu dug₃\abs še₂₁-a,name good call,N V/i V/t
{d}inana,Inanak,DN
ŋeštug₂\abs šum₂-ma,ear give,N V/t
{d}en-ki,Enkik,DN
šag₄\l3 pad₃-da,heart find,N V/t
{d}nanše,Nanše,DN
nin uru₁₆,lady exalted,N V/i
kur gu₂ ŋar-ŋar,mountain neck place,N N V/t
{d}nin-ŋir₂-su₂,Ninŋirsuk,DN
ki\abs aŋ₂,place measure,N V/t
{d}dumu-zid-abzu,Dumuzidabzuk,DN
mu pad₃-da,name find,N V/t
{d}hendur-saŋ,Hendursaŋak,DN
gu₅-li ki\abs aŋ₂,friend place measure,N N V/t
{d}lugal-urub,Lugalurubak,DN
dam ki\abs aŋ₂,spouse place measure,N N V/t
{d}inana-ka-ke₄,Inanak,DN
elam{ki} šubur{ki},Elam Šubur,GN GN
kur ŋeš niŋ₂-gur₁₁\abs,mountain tree property,N N N
aga₃-kar₂\abs be₂-seg₁₀\v10l2,conqueror put,N V/t
su-sin₂{ki}-na\n5al2,Susa,SN
aga₃-kar₂\abs be₂-seg₁₀\v10l2,conqueror put,N V/t
šu-nir |URU×A|{ki}-ka\gen\l1,emblem Arawa,N SN
ensi₂-bi\abs,ruler,N
saŋ-ba\l1 mu-du\l2,head go,N V/i
aga₃-kar₂\abs be₂-seg₁₀\v10l2,conqueror put,N V/t
a-ru₂-a{ki}\abs,Arua,SN
mu-ha-lam,forsake,V/t
šu\abs e₃,hand leave,N V/i
ki-en-gi\gen\abs,Kiengir,GN
urim₅{ki}\l2,Urim,SN
aga₃-kar₂\abs be₂-seg₁₀\v10l2,conqueror put,N V/t
gu₂-eden-na\abs,Guedenak,GN
šu-a\n5al2 gi₄-a,hand turn,N V/i
e₂-an-na-tum₂,Eanatum,RN
{d}nin-ŋir₂-su-ka-ke₄,Ninŋirsuk,DN
{d}nin-ŋir₂-su-ra,Ninŋirsuk,DN
mu-na-du₃-a-e,build,V/t
lugal kiš{ki}-x\gen\x,king Kiš,N SN
na-ru₂-a\gen,stele,N
mu-bi\abs,name,N
lu₂-a nu mu-be₂ ši-e,person not name speak,N MOD N V/t
{d}nin-ŋir₂-su,Ninŋirsuk,DN
en men lum-ma\gen\abs,lord tiara fruit,N N V/i
nam-til₃,life,N
{id₂}piriŋ-eden-na\gen\abs,Piriŋedenak,WN
na-ru₂-a,stele,N
gu₂-eden-na,Guedenak,GN
a-šag₄ ki\abs aŋ₂,field place measure,N N V/t
{d}nin-ŋir₂-su-ka\gen\abs,Ninŋirsuk,DN
e₂-an-na-tum₂-me,Eanatum,RN
{d}nin-ŋir₂-su-ra,Ninŋirsuk,DN
šu-na\n5al2 mu-ni-gi₄-a\abs,hand turn,N V/i
mu\term mu-na-še₂₁,name call,N V/t
e₂-an-na-tum₂,Eanatum,RN
kur\l3 gu₂\abs ŋar-ŋar,mountain neck place,N N V/t
{d}nin-ŋir₂-su-ka\gen\abs,Ninŋirsuk,DN
e₂-an-na-tum₂,Eanatum,RN
kur\l3 gu₂\abs ŋar-ŋar,mountain neck place,N N V/t
{d}nin-ŋir₂-su-ka\gen\abs,Ninŋirsuk,DN
